hour,ncalls
2026-08-10 00:00:00,9
2026-08-10 01:00:00,9
2026-08-10 02:00:00,8
2026-08-10 03:00:00,9
2026-08-10 04:00:00,8
2026-08-10 05:00:00,9
2026-08-10 06:00:00,8
2026-08-10 07:00:00,9
2026-08-10 08:00:00,9
2026-08-10 09:00:00,8
2026-08-10 10:00:00,9
2026-08-10 11:00:00,8
2026-08-10 12:00:00,9
2026-08-10 13:00:00,8
2026-08-10 14:00:00,9
2026-08-10 15:00:00,9
2026-08-10 16:00:00,8
2026-08-10 17:00:00,9
2026-08-10 18:00:00,8
2026-08-10 19:00:00,9
2026-08-10 20:00:00,8
2026-08-10 21:00:00,9
2026-08-10 22:00:00,9
2026-08-10 23:00:00,8
2026-08-11 00:00:00,9
2026-08-11 01:00:00,8
2026-08-11 02:00:00,9
2026-08-11 03:00:00,8
2026-08-11 04:00:00,9
2026-08-11 05:00:00,9
2026-08-11 06:00:00,8
2026-08-11 07:00:00,9
2026-08-11 08:00:00,8
2026-08-11 09:00:00,9
2026-08-11 10:00:00,8
2026-08-11 11:00:00,9
2026-08-11 12:00:00,9
2026-08-11 13:00:00,8
2026-08-11 14:00:00,9
2026-08-11 15:00:00,8
2026-08-11 16:00:00,9
2026-08-11 17:00:00,8
2026-08-11 18:00:00,9
2026-08-11 19:00:00,9
2026-08-11 20:00:00,8
2026-08-11 21:00:00,9
2026-08-11 22:00:00,8
2026-08-11 23:00:00,9
2026-08-12 00:00:00,8
2026-08-12 01:00:00,9
2026-08-12 02:00:00,9
2026-08-12 03:00:00,8
2026-08-12 04:00:00,9
2026-08-12 05:00:00,8
2026-08-12 06:00:00,9
2026-08-12 07:00:00,8
2026-08-12 08:00:00,9
2026-08-12 09:00:00,9
2026-08-12 10:00:00,2
